Record #,Code / Description,Responsible Party,Unit,Correction Required By:,Status,Picture
HSNG-25-1632,105.CMR.410.150: Hot Water(B)( no hot water temperature at 61.7 at time of inspection)105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements.2(B)(Basement active leak from unknown source),Owner,"","",Cited,""
HSNG-25-1630,105.CMR.410.180: Temperature Requirements(A) (Temperature reading 65.8°F at time of inspection),Owner,"","",Cited,""
HSNG-25-1625,"105.CMR.410.130: Potable Water/Sanitary Drainage(A) The owner shall provide a supply of potable water sufficient in quantity and pressure to meet the ordinaryneeds of every occupant.( No water)105.CMR.410.003: General Provisions(3)( no water)105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety(3,5)",Owner,"",11/20/2025,Cited,""
HSNG-25-1623,105.CMR.410.150: Hot WaterThe owner shall provide and maintain in good operating condition facilities capable of heating and delivering hot water:(A) In a quantity and pressure sufficient to satisfy the ordinary use of all plumbing fixtures which normally need hot water for their proper use and function.(B) In a temperature range of not less than 110° F(43°C) and not greater than 130°F (54°C) for fixtures other than a bathtub or shower. (water 51.0 degrees),Owner,2R,"",Cited,""
HSNG-25-1623,"105.CMR.410.630: Conditions Deemed to Endanger or Materially Impair Health or Safety (A) The following conditions, when found to exist in a residence, shall always be deemed conditions which may endanger or materially impair the health, or safety and well-being of a person or persons occupying the premises: (1) Failure to provide and maintain a supply of water sufficient in quantity, pressure and temperature, both hot and cold, to meet the ordinary needs of the occupant, required by 105 CMR 410.130, 410.140, and 410.150, for a period of 24 hours or longer. ",Owner,2R,"",Cited,""
HSNG-25-1614,"105.CMR.410.500 (A) (1) (2)(Active leak coming from bathtub through kitchen ceiling, structural damage from leak, buildup of mold like substance and water spots in kitchen ceiling, open plumbing, walls, and floor in closet and bathroom made to assess leak causing structural defects)",Owner,"",11/21/2025,In Progress,""
HSNG-25-1601,"IMMEDIATE CONDEMNATION TENT BEING USED AS DWELLING105.CMR.410.003 (A) GENERAL PROVISIONS(Tent being used as dwelling)105.CMR.410.130 (A) POTABLE WATER/SANITARY DRAINAGE(No water)105.CMR.410.200 PROVISIONS AND METERING OF ELECTRICITY OR GAS(No electricity)105.CMR.410.320 ELECTRICAL SERVICE (A) 1, 3 (Extension cords extending through window to tent)105.CMR.410.570 (A) 1, 3, 5 MAINTENANCE OF AREAS IN A SANITARY AND SAFE CONDITION(Yard has miscellaneous debris, including cardboard boxes, television, carpet, paint containers, hamper, plastic storage containers, tools etc.)105.CMR.410.630 (A) 1, 3 CONDITIONS DEEMED TO ENDANGER OR MATERIALLY IMPAIR HEALTH AND SAFETY (A) 1, 3",Owner,"","",Cited,""
HSNG-25-1601,"105.CMR.410.570(B) MAINTENANCE OF AREAS IN A SANITARY AND SAFE CONDITION( Area around tents has cardboard boxes, plastic bottles, bag with thrash, containers etc.)105.CMR.410.320 (A) 1, 3 ELECTRICAL SERVICES(Extension cords running from house through and through tent entrance)",Tenant,"","",Cited,""
HSNG-25-1600, 105.CMR.410.150 (B) (Hot water measured below minimum requirements at 94.8°F),Owner,"","",Cited,1356768
HSNG-25-1598,105.CMR.410.210: Provision of OilThe owner shall provide for the oil used for heating and/or hot water in each dwelling unit( No oil in tanks.),Owner,"","",Cited,""
HSNG-25-1598,"105.CMR.410.180: Temperature Requirements(A) The owner shall provide heat in every habitable room and every room containing a toilet, shower, or bathtub from September 15th through May 31st inclusive so that it shall be:(1) At least 68°F(20°C)between 7:00 A.M. and 11:00 P.M.; and (2) At least 64°F (17°C)between 11:01 P.M. and 6:59 A.M.(temp at inspection 65.3)",Owner,"","",Cited,""
HSNG-25-1592,105.CMR.410.150: Hot Water(B)(Temperature at 55.4°F),Owner,"","",Corrected,""
HSNG-25-1559,"INSUFFICIENT HOT WATER 105.CMR.410.150 (B) (C)(Entire dwelling has had insufficient hot water for over 24 hours, measured below minimum requirements in 3 different units)",Owner,"","",Corrected,""
HSNG-25-1553,"IMMEDIATE CONDEMNATION—ENTIRE DWELLING UNIT 105.CMR.410.130: (A)Potable Water/Sanitary Drainage( low water pressure bathroom sink )105.CMR.410.150: (A,B,C )Hot Water( water temp at time of inspection 55.0°F , low water pressure in bathroom )105.CMR.410.160: (A)(B 3 )Heating Systems( space heater being used at time of inspection , furnace not working properly )105.CMR.410.180:( A1) Temperature Requirements(  temp at time of inspection 63.8°F )105 CMR 410.235:(A6,12,13,14,)Owner’s Installation And Maintenance Responsibilities ( bathroom sink water pressure insufficient , heating system not working properly , fixtures not working properly front bedroom, missing smoke/co2 detector )105.CMR.410.330: (A)Smoke Detectors and Carbon Monoxide Alarms(Smoke/co2 detectors missing throughout entire dwelling and common area , basement )105 CMR 410.500:(A)(1,2)Owner’s Responsibility To Maintain Building and Structural Elements  ( rear porch unstable , kitchen cabinets in disrepair ,kitchen floor tiles ripped missing , mold like substance throughout entire dwelling , active leak in basement window in living room not working properly )105.CMR.410.630: (A)(1,2,5,12,13,15 ) Conditions Deemed to Endanger or Materially Impair Health or Safety ",Owner,"","",Cited,""
HSNG-25-1553,"",Owner,"","",Cited,""
HSNG-25-1553,"Chapter 327 Article 1 § 327-14 Unregistered Motor Vehicle ( A,B)Whoever, being the owner, occupant, or in control of real estate, permits, allows or suffers an unregistered motor vehicle or a substantial part of such motor vehicle to remain on said premises for a period in excess of 12 days shall be punished by a fine .",Owner,"","",Cited,""
HSNG-25-1553,105.CMR.410.160:(B3)Heating Systems( space heater being used at time of inspection ),Tenant,"","",Cited,""
HSNG-25-1552,"","","","",Cited,""
HSNG-25-1552,"","","","",Cited,""
HSNG-25-1552,"","","","",Cited,""
HSNG-25-1552,"IMMEDIATE CONDEMNATION— Illegal 3rd floor unit -missing smoke/co2 detectors 105. CMR .410.003:(A) General Provision(Illegal 3rd floor unit, no kitchen facilities)105.CMR.410.100:(A 5,6) Kitchen Facilities(no stove or refrigerator in unit)105.CMR.410.330:(A) Smoke Detectors and Carbon Dioxide Detectors (missing smoke / co2 detectors)105.CMR.410.520: (A 1) Protective Railings and Walls(Missing handrails common are hallways)105.CMR.410.630(A)7,15,16 conditions deemed to endanger or materially impair health or safety ",Owner,"","",Cited,""
HSNG-25-1549,"105.CMR.410.003: General Provisions-A,B,C(Gas and Electric shut off to Dwelling due to foundation wall collapse)",Owner,"","",Cited,""
HSNG-25-1549,105.CMR.410.200: Provision and Metering of Electricity or Gas(A)(Gas and Electricity to dwelling shut off),Owner,"","",Corrected,""
HSNG-25-1549,"105.CMR.410.500 Owners responsibility to maintain structural elements.(A)1,2.(Right side of dwelling foundation wall collapsed)",Owner,"","",Cited,""
HSNG-25-1549,"105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety(A) 3,12",Owner,"","",Cited,""
HSNG-25-1516,"105 CMR 410.235 (A,12,13) Owner's Installation and Maintenance Responsibilities ( light switch front entry missing cover, missing smoke detector front entry hall ) ",Owner,"","",Cited,""
HSNG-25-1511,TEMPERATURE REQUIREMENTS 105.CMR.410.180 (A)UNIT TEMPERATURE UPON INSPECTION 62.7 DEGREES F,Owner,"",11/10/2025,Cited,1353781
HSNG-25-1496,"105.CMR.410.270 (A) (1) (3)(Main entryway doors for 28-34 Myrtle Street do not lock, residence is unsecured from unlawful entry)",Owner,"",11/10/2025,Corrected,""
HSNG-25-1495,"105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms(A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR (Missing hardwired smoke detector on first floor)(Non-functioning CO detector on first floor)(Missing hardwired smoke and CO detector on second floor)105.CMR.410.240: Occupant’s Installation and Maintenance Responsibilities (A) (5).(A) The occupant shall ensure proper installation in compliance with accepted standards as defined in 105 CMR 410.010, and shall maintain free from leaks, obstructions and other defects, all occupant owned and installed equipment including, but not limited to:l(5) Smoke detectors and carbon monoxide alarms.(Tenant has removed hardwired smoke and CO detectors)",Both,First and second floor,11/17/2025,Cited,""
HSNG-25-1493,"WINDOWS NOT WEATHERTIGHT 105.CMR.410.530 (A)1,2,3STORM WINDOWS REPAIR OR REPLACE 105.CMR.410.500 (A) 2Rear and front bedroom windows broken do not close. Living and Kitchen windows not weathertight.",Owner,"",11/12/2025,Cited,""
HSNG-25-1488,"105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms(A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR 410.010.( Smoke detectors missing/not functioning throughout unit.)",Owner,1st Flr,"",Cited,""
HSNG-25-1488,105.CMR.410.260: Means of Egress(A) Every residence shall have at a minimum two means of egress and every dwelling unit and rooming unit shall have a sufficient number of egresses as will allow for the safe passage of all people.(B) No person shall cause obstruction of any means of egress or passageway.,Both,"","",Cited,""
HSNG-25-1488,"105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A) The facilities and equipment the owner is required to provide include, but are not limited to: (1) Sinks;(No sink in bathroom)",Owner,"","",Cited,""
HSNG-25-1488,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition (B) Residences:The occupants of any residence shall be responsible for maintaining, in a sanitary condition and free of refuse or other filth or causes of sickness, that part of the residence which they exclusively occupy or control.",Tenant,"","",Cited,""
HSNG-25-1488,"105.CMR.410.530: Weathertight Elements(A) An exterior openable window shall be considered weathertight only when:(1) All panes of glass are in place, unbroken and properly sealed;(Widow glass broken/missing)(Rear egress door broken)",Both,"","",Cited,""
HSNG-25-1488,105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or SafetyA-8-10-15,Owner,"","",Cited,""
HSNG-25-1475,CEILING - WATER DAMAGED 105.CMR.410.500 (A) 2LEAK IN BATHROOM CEILING 105.CMR.410.500 (B)BATHROOM CEING WATER DAMAGED LEAK FROM UNIT ABOVE SOURCE UNKNOWN,Owner,"",11/07/2025,Corrected,""
HSNG-25-1451,"105 CMR 410.235 (A,13) Owner’s Installation and Maintenance Responsibilities ( missing smoke and carbon monoxide detectors in basement, second floor, and attic)",Owner,"","",Corrected,""
HSNG-25-1448,"Immediate Condemnation; 1st Flr left side Dwelling Unit and Basement Dwelling Unit105.CMR.410.260: Means of Egress(A) Every residence shall have at a minimum two means of egress and every dwelling unit and rooming unit shall have a sufficient number of egresses as will allow for the safe passage of all people.(B) No person shall cause obstruction of any means of egress or passageway.(C) In a single unit residence, the occupant shall maintain free from obstruction all means of egress.( single family home. Dwelling unit on left side has one means of egress. Basement dwelling unit has one means of egress.)",Owner,"","",Cited,""
HSNG-25-1448,"105.CMR.410.630: Conditions Deemed to Endanger or Materially Impair Health or Safety (A)-8105.CMR.410.003: General Provisions(A) No owner shall allow a person to occupy, offer to rent, or occupy as owner-occupant any residence which does not comply with the requirements of 105 CMR 410.000.(Single family dwelling converted into 3 dwelling units.)",Owner,"","",Cited,""
HSNG-25-1416," 105.CMR.410.180 (A) 1(No heat available in dwelling unit, internal temperature measured at 67.1°F, below minimum requirements)",Owner,"",11/06/2025,Corrected,1352899
HSNG-25-1409,"Immediate condemnation of entire dwelling due to fire.105.CMR.410.003: General Provisions(C) ( Water and electric service shut off due to fire)105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements(A,B)( roof damaged, open to elements. Windows broken, Interior walls and ceilings open to studs, insulation exposed )( Fire and Water damage throughout).105.CMR.410.130: Potable Water/Sanitary Drainage(A)( No water)105.CMR.410.235: Owner’s Installation and Maintenance Responsibilities(A)(12)( exposed wiring, fire damaged fixtures, outlets ,and wiring ).105.CMR.410.260: Means of Egress(A)( egresses blocked by fire debris)105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms(A)( smoke detectors missing,  destroyed )105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition(A)(1,3,5,).( fire debris, trash, mattresses, tires , household items in yard).105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety(A)(3,5,8,10,12,13, 15).Kitchen damage Damage to windows Roof damage Back yard debrisLitter in back yardLitter,debris on car port",Owner,"",11/20/2025,Cited,1350127
HSNG-25-1408,"CONDEMNATION OF CAMPER BEING USED AS PRIMARY DWELLINGKITCHEN FACILITIES 105.CMR.410.100 (A)1-6(No stove, no kitchen sink, no countertop,)BATHROOM FACILITIES 105.CMR.410.110 (A) 1-6, (B) 1-3(No toilet, not bathroom sink, not bathtub, no shower)ELECTRICAL SERVICE 105.CMR.410.320 (A)1,2,3,4(Temporary wiring being utilized, extension cords throughout)POTABLE WATER/SANITARY DRAINAGE 105.CMR.410.130 (A), (B)HABITABILITY REQUIREMENTS 105.CMR.410.420 (B, D)(Ceiling height at highest point is 79 inches, total habitable floor space is 150 square feet)HEATING SYSTEMS 105.CMR.410.160 (C) 2(propane heating appliance being used) SMOKE DETECTORS AND CARBON MONOXIDE ALARMS 105.CMR.410.330(Detector not operable)CONDITIONS DEEMED TO ENDANGER OR MATERIALLY IMPAIR HEALTH OR SAFETY 105.CMR.410.630 (A) 1, 2,5,6,7, 10,15",Owner,"","",Cited,""
HSNG-25-1408,"MAINTENANCE OF LAND 105.CMR.410.570 (A)1,3,4,5 (B)Dumping of furniture, tires, mattresses, oil barrels, oil containers, scrap metal tarps, trash bulk items etc.",Both,"","",Cited,""
HSNG-25-1401,105.CMR.410.150: Hot WaterThe owner shall provide and maintain in good operating condition facilities capable of heating and delivering hot water:(A) In a quantity and pressure sufficient to satisfy the ordinary use of all plumbing fixtures which normally need hot water for their proper use and function.(B) In a temperature range of not less than 110° F(43°C) and not greater than 130°F (54°C) for fixtures other than a bathtub or shower.(Temp at inspection 177.4 degrees),Owner,1st Flr,"",Cited,""
HSNG-25-1401,"105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A) The facilities and equipment the owner is required to provide include, but are not limited to: (8) Conventional cook top and ovens( Stove not working)",Owner,"","",Corrected,1354430
HSNG-25-1401,"105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A) The facilities and equipment the owner is required to provide include, but are not limited to: (2) Bathtubs and/or Showers; (Shower head broken not functioning properly.)",Owner,"","",Cited,""
HSNG-25-1401,"105.CMR.410.500 Owners responsibility to maintain structural elements.(A-(2) free from holes, cracks, loose plaster, or defects that renders the area, difficult to keep clean, create an injury risk(Paint peeling,bathroom)",Owner,"","",Cited,""
HSNG-25-1401,"105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A) The facilities and equipment the owner is required to provide include, but are not limited to: (1) Sinks;(3) Toilets;(Sink loose,Toilet loose,Toilet seat unattached)",Owner,"","",Cited,""
HSNG-25-1401,"105.CMR.410.500 Owners responsibility to maintain structural elements.(A) every owner of a residence shall maintain all building structural elements in compliance with accepted standards, so they are in good repair, and in every way fit for intended use.(2) free from holes, cracks, loose plaster, or defects that renders the area, difficult to keep clean, create an injury risk( Ceiling and wall damage throughout unit)",Owner,"","",Cited,""
HSNG-25-1384,"HEAT IS INSUFFICIENT 105.CMR.410.180 (A)(1) ( emergency no heat, temperature of apartment at time of inspection was 66°F) ",Owner,"","",Cited,""
HSNG-25-1372,Immediate condemnation of entire dwellingCURTAILMENT OF SERVICE 105.CMR.410.003 ( C )(Water services shut off due to nonpayment) Conditions Deemed to Endanger or Materially Impair Health or Safety - 105.CMR.410.630(3) ,Owner,"","",Cited,""
HSNG-25-1370,"Immediate condemnation of dwelling.105.CMR.410.003: General Provisions(C)( water shut off) by Spfld. water and Sewer on 10/20/25 due to non- payment.105.CMR.410.130: Potable Water/Sanitary Drainage(A)( water shut off)105.CMR.410.630: Conditions Deemed to Endanger or Materially Impair Health or Safety(A)(3,5)",Owner,"",10/29/2025,Cited,1349462
HSNG-25-1369,"Immediate condemnation to dwelling.105.CMR.410.003: General Provisions(C)( water shut off) by Spfld. Water and Sewer on 10/20/25, Due to non- payment.105.CMR.410.130: Potable Water/Sanitary Drainage(A)( water shut off)105.CMR.410.630: Conditions Deemed to Endanger or Materially Impair Health or Safety(A)(3,5).",Owner,"",10/29/2025,Cited,1349468
HSNG-25-1364,"IMMEDIATE CONDEMNATION OF FIRST FLOOR DWELLING UNITOWNER’S INSTALLATION, MAINTENANCE AND REPAIRS RESPONSIBILITIES 105.CMR.410.235(A)4,6,12,13(smoke and carbon detectors missing, furnace inoperable, exposed wires, windows broken, bathtub in disrepair)OWNER'S RESPONSIBILITY TO MAINTAIN BUILDING AND STRUCTURAL ELEMENTS 105.CMR.410.500(A)(Rear porch stair handrail broken)OWNER’S INSTALLATION, MAINTENANCE AND REPAIRS RESPONSIBILITIES 105.CMR.410.235 TOILET LOOSE 105.CMR.410.235 (A)3TOILET LOOSE AT THE BASESOIL PIPE LEAKING 105.CMR.410.235(A)9 LEAKING INTO BASEMENT FROM BATHROOMCEILING - TILE WATER DAMAGED BROKING MISSING 105.CMR.410.500 (A) 2BATHROOMHEATING SYTEMS 105.CMR.410.160 (A)HEATING SYSTEM - FAULTY - HAZARDOUS 105.CMR.410.235 (A) 6Furnace is inoperableHOT WATER 105.CMR.410.150 (A, B, C) WATER TEMPERATURE 55.2 DEGREES UPON INSPECTIONSMOKE DETECTORS AND CARBON MONOXIDE ALARMS 105.CMR.410.330(A) No smoke or carbon monoxide alarms present in the unitCEILING - BROKEN PLASTER, PEELING, FLAKING, SAGGING ROTTED HAZARDAOURS 105.CMR.410.500 (A) 2KITCHEN CEILING WATER DAMAGED LEAK FROM SECOND FLOORSTORM WINDOWS REPAIR OR REPLACE 105.CMR.410.500 (A) 2Bathroom and Living room windows broken/rottedELIMINATION OF PESTS 105.CMR.410.550(B)Roaches throughout unitMAINTENANCE OF AREAS IN A SANITARY AND SAFE CONDITION 105.CMR.410.570 (A)1,5 (C)1Pile of miscellaneous debris in rear yard including mattresses, furniture etc.EXPOSED WIRES 105.CMR.410.235 (A) 12FRONT ENTRANCE TO THE UNIT EXPOSED WIRES LIGHT FIXTURE MISSINGPROTECTIVE RAILINGS AND WALLS 105.CMR.410.520 (A)1Rear porch stair handrail brokenCONDITIONS DEEMED TO ENDANGER OR MATERIALLY IMPAIR HEALTH OR SAFETY 105.CMR.410.630 (A)1, 2, 6,10, 13, 15,16,17S",Owner,"",10/29/2025,Cited,""
HSNG-25-1364,DWELLING UNIT UNSANITARY (TENANT) 105.CMR.410.570 (B)Clothes and trash strewn on bedroom floors,Tenant,"","",Cited,""
HSNG-25-1363,"105.CMR.410.180: Temperature Requirements(A) The owner shall provide heat in every habitable room and every room containing a toilet, shower, or bathtub from September 15th through May 31st inclusive so that it shall be:(1) At least 68°F(20°C)between 7:00 A.M. and 11:00 P.M.; and (2) At least 64°F (17°C)between 11:01 P.M. and 6:59 A.M.(B) At no time shall the heating system, required by 105 CMR 410.160(A), used during the heating season cause the temperature to exceed 78°F(25°C)in any room. ( temp at time of inspection 64.9 ° F )",Owner,"","",Cited,1349387
HSNG-25-1363,"105.CMR.410.500 Owner’s Responsibility to maintain Building and Structural Elements (A) every owner of a residence shall maintain all building structural elements in compliance with accepted standards, so they are in good repair, and in every way fit for intended use, including:(1) protected from wind, rain, and snow, and our weather, tight, free from excess moisture, or the appearance of mold and pest resistant; and(2) free from holes, cracks, loose plaster, or defects that renders the area, difficult to keep clean, create an injury risk, or provided entry or harborage of pest.( ceiling in front bedroom plaster broken, water damage from 2nd floor unit )",Owner,"","",Cited,""
HSNG-25-1355,"Immediate condemnation of entire dwelling ( Due to fire)105.CMR.410.003: General Provisions(C) ( No Electric service  due to a fire)105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements(A)(B)( Roof open to elements, Exterior walls open to elements, exposed studs, insulation . Smoke ,Fire , and Water damage to interior and exterior structure.)( exterior siding, shingles damaged)105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A)( 12)( exposed wiring)105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms(A)( damaged smoke detectors)105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition(A)(1,3,5).( fire debris around perimeter of house)105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety(A)(3,10,12,15).Damage to roof/atticAttic above dining areaDamage to ceilingHallwayDamage to ceiling/walls Kitchen areaDamage to ceiling Living roomDamage to roof/sidingExterior leftDamage to siding Left sideFire debrisBack yard",Owner,"",11/27/2025,Cited,1349095
HSNG-25-1307,"IMMEDIATE CONDEMNATION OF ENTIRE DWELLING DUE TO CURTAILMENT OF ALL UTILITIES105 CMR 410.003 General Provisions (C)(curtailment of services Gas, Water, Electricity all shut off due to flooding in basement)105 CMR 410.130 (A) Potable Water/Sanitary Drainage(no water flowing from pipes)105 CMR 410.330 Smoke Detectors and carbon Monoxide Alarms (A)(Missing smoke detector front second floor hall landing)(Missing smoke and carbon monoxide detector first floor unit)105 CMR 410.235 (A,1) Owner's Installation and Maintenance Responsibilities(first floor bathroom vanity leaning forward)105 CMR 410.500 (A,1,2) Owner's Responsibility to Maintain Building and Structural Elements(First floor kitchen cabinets need repairs, First floor kitchen floor damaged, first floor bathroom room and bedroom doors damaged, siding loose, damaged rear storm door, peeling paint, large pool of water in basement)105 CMR 410.550 (B) Elimination of Pests(Roaches throughout)105 CMR 410.570 Maintenance of Areas in a Sanitary and Safe Condition (A,1,5)(C,1)(Bulk items and miscellaneous items in yard(mattresses, tables, walkers, etc..))(unsanitary common areas)105 CMR 410.260 Means of Egress (B)(front porch exit obstructed by furniture and household items)105 CMR 410.630 Conditions Deemed to Endanger or Materially Health and Safety(A,3,5,8,10,12,15,17)",Owner,"","",Cited,""
HSNG-25-1307,105 CMR 410.570 Maintenance of Areas in a Sanitary and Safe Condition (B)(unsanitary conditions in first floor unit: heavy fire load),Tenant,"","",Cited,""
HSNG-25-1295,"THE HOT WATER TEMPERATURE WAS 69° AT TIME OF INSPECTION. 10:30 AM.*(105.CMR.410.235.) (C) 1, 2, 3 OWNERS INSTALLATION, MAINTENANCE AND REPAIR RESPONSIBILITIES.*(105.CMR.410.500) (A) 1, 2, (B)  OWNERS, RESPONSIBILITY TO MAINTAIN BUILDING AND STRUCTURAL ELEMENTS",Owner,3B,"",Cited,""
